0,13
1,12
2,5
3,12
4,11
5,7
6,9
7,18
8,29
9,29
10,16
11,8
12,21
13,16
14,11
15,25
16,29
17,8
18,22
19,7
20,23
21,30
22,18
23,22
24,30
25,17
26,9
27,14
28,15
29,5
30,18
31,11
32,15
33,21
34,29
35,19
36,5
37,20
38,15
39,19
40,18
41,23
42,19
43,14
44,10
45,9
46,7
47,27
48,5
49,8
50,18
51,11
52,27
53,25
54,13
55,12
56,21
57,24
58,25
59,23
60,9
61,10
62,8
63,18
64,30
65,14
66,7
67,17
68,6
69,28
70,19
71,18
72,9
73,17
74,23
75,29
76,11
77,24
78,23
79,23
80,20
81,13
82,26
83,21
84,14
85,28
86,19
87,15
88,11
89,6
90,19
91,13
92,23
93,9
94,5
95,5
96,26
97,23
98,12
98,22
